pdb_id,uniprot_id,protein_family,enzyme_number
5I3J,P04789,Belongs to the triosephosphate isomerase family,5.3.1.1
2VWT,P76469,Belongs to the HpcH/HpaI aldolase family. KDR aldolase subfamily,4.1.2.53
5W5R,P39669,Belongs to the bacterial/plant glucose-1-phosphate adenylyltransferase family,2.7.7.27
7C31,F6HGI0,,
4DMH,A0A0H2ZD27,,
3BON,P0DPI1,Belongs to the peptidase M27 family,
3C83,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
4KUI,P06701,,
1S0Q,P00760,Belongs to the peptidase S1 family,3.4.21.4
4YWQ,Q5TC82,,2.3.2.27
3IWO,P00811,Belongs to the class-C beta-lactamase family,3.5.2.6
7PEF,P0A2U4,Belongs to the LcrH/SycD chaperone family,
6J5M,P0CL66,Belongs to the OspA lipoprotein family,
8U9B,A0A0H3FPU4,Belongs to the aldehyde dehydrogenase family,1.2.1.8
2GDM,P02240,Belongs to the plant globin family,
2Q4V,Q96F10,Belongs to the acetyltransferase family,2.3.1.-
3NR3,P02689,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
6GME,Q7KZ85,Belongs to the SPT6 family,
7M46,Q9UGP5,Belongs to the DNA polymerase type-X family,2.7.7.7; 4.2.99.-
4YPC,P08670,Belongs to the intermediate filament family,
2EZ2,P31013,Belongs to the beta-eliminating lyase family,4.1.99.2
6NUF,Q08209,Belongs to the PPP phosphatase family. PP-2B subfamily,3.1.3.16
6NUF,P63098,Belongs to the calcineurin regulatory subunit family,
6NUF,P19634,Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family,
2F0L,P00644,Belongs to the thermonuclease family,3.1.31.1
5LBD,Q9SZC9,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,7.2.2.8
1QI8,P69905,Belongs to the globin family,
1QI8,P68871,Belongs to the globin family,
5V2M,Q837E0,Belongs to the diphosphomevalonate decarboxylase family,4.1.1.33
2CHD,P47709,,
1AJJ,P01130,Belongs to the LDLR family,
4QLK,Q75I93,Belongs to the glycosyl hydrolase 1 family,3.2.1.21
5VJW,Q9SR62,Belongs to the PPP phosphatase family,3.1.3.48
6Y16,Q9WZ62,,
1QW2,Q9HIX0,,
5MC3,P12955,Belongs to the peptidase M24B family. Eukaryotic-type prolidase subfamily,3.4.13.9
7BH6,G3G192,Belongs to the class-A beta-lactamase family,3.5.2.6
5TK4,A0A6L7H6L8,,
1OZL,P09601,Belongs to the heme oxygenase family,1.14.14.18
1DXV,P69905,Belongs to the globin family,
1DXV,P68871,Belongs to the globin family,
7BV0,A0A3G1TVH2,Belongs to the hepevirus capsid protein family,
2W9R,P0A8Q6,Belongs to the ClpS family,
2W9R,P0ABT2,Belongs to the Dps family,1.16.-.-
1VME,Q9WZL4,,
1KKO,O66145,Belongs to the methylaspartate ammonia-lyase family,4.3.1.2
5GLX,G2QVH7,Belongs to the glycosyl hydrolase 45 (cellulase K) family,3.2.1.4
1YMW,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
3WB9,Q67PI3,Belongs to the diaminopimelate dehydrogenase family,1.4.1.16
1L44,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1PF3,P36649,Belongs to the multicopper oxidase family,1.16.3.4
5YAG,Q0IFG2,,
6IXL,A0A096P8D3,Belongs to the isocitrate and isopropylmalate dehydrogenases family,1.1.1.41
5Q5S,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
4PIF,O22321,,
5UGR,C5B113,Belongs to the HpcH/HpaI aldolase family,
3NKL,Q5E8F4,Belongs to the polysaccharide synthase family,
3CIV,A5H1I6,,
1GOF,P0CS93,,1.1.3.9
5NMK,P04439,Belongs to the MHC class I family,
5NMK,P61769,Belongs to the beta-2-microglobulin family,
5NMK,P04591,Belongs to the primate lentivirus group gag polyprotein family,
3O41,P03420,Belongs to the paramyxoviruses fusion glycoprotein family,
2ESK,P62837,Belongs to the ubiquitin-conjugating enzyme family,2.3.2.23
5UUL,Q16548,Belongs to the Bcl-2 family,
5UUL,Q9BXH1,Belongs to the Bcl-2 family,
4Z2A,P09958,Belongs to the peptidase S8 family. Furin subfamily,3.4.21.75
3AJ3,Q988B9,Belongs to the metallo-beta-lactamase superfamily,3.1.1.27
1QWY,O33599,Belongs to the peptidase M23B family,3.4.24.75
1Q8A,Q9WYA5,Belongs to the vitamin-B12 dependent methionine synthase family,2.1.1.13
5M9J,P03950,Belongs to the pancreatic ribonuclease family,3.1.27.-
6HGM,P01011,Belongs to the serpin family,
6R7V,G8ULV1,Belongs to the peptidase M43B family,
7OU3,C5A7E3,Belongs to the archaeal N-glycosylase/DNA lyase (AGOG) family,
1JHJ,Q9UM13,Belongs to the APC10 family,
5FIS,H9IUR0,Belongs to the EXD1 family,
6OON,Q9HCK5,Belongs to the argonaute family. Ago subfamily,
1Y37,Q1JU72,Belongs to the AB hydrolase superfamily. Epoxide hydrolase family,3.8.1.3
2DWT,Q53239,Belongs to the multicopper oxidase family,1.7.2.1
5P2N,P11838,Belongs to the peptidase A1 family,3.4.23.22
4OFA,O95243,,3.2.2.-
3I6H,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
255L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3MHG,P63705,Belongs to the aldolase LacD family,4.1.2.40
3BFQ,P08189,Belongs to the fimbrial protein family,
3BFQ,P08190,Belongs to the fimbrial protein family,
4KLL,P06746,Belongs to the DNA polymerase type-X family,2.7.7.7
6VPA,C9Z6T8,,
4BZ0,Q63JW5,,
2DPF,P19667,,
1J58,O34714,,4.1.1.2
4Z79,P29536,Belongs to the tropomodulin family,
3NI6,A5K8X6,,5.2.1.8
3A2P,P13398,Belongs to the amidase family,3.5.2.12
6Q4Q,P68400,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CK2 subfamily,2.7.11.1
2YZO,Q9WZQ4,Belongs to the ComB family,3.1.3.71
5A4O,Q63VU8,,
1IZM,P44882,Belongs to the UPF0149 family,
1IEE,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1S5N,P15587,Belongs to the xylose isomerase family,5.3.1.5
8V14,G5EEF9,,
1SMX,P21513,Belongs to the RNase E/G family. RNase E subfamily,3.1.26.12
4JPU,B3LRE1,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.-
1JF4,P15447,Belongs to the globin family,
4AI1,P38894,Belongs to the flocculin family,
6NZC,P05042,Belongs to the class-II fumarase/aspartase family. Fumarase subfamily,4.2.1.2
1ZUY,Q04439,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,
3K3U,Q9NAV8,Belongs to the globin family,
1QN5,P28147,Belongs to the TBP family,
5ZII,P36217,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
4JIG,B4E5P7,Belongs to the short-chain dehydrogenases/reductases (SDR) family,
1R9W,P06789,Belongs to the papillomaviridae E1 protein family,3.6.4.12
2ZT0,P02185,Belongs to the globin family,
3HKM,Q84T68,Belongs to the RNase PH family,3.1.13.-
2QOI,P29320,Belongs to the protein kinase superfamily. Tyr protein kinase family. Ephrin receptor subfamily,2.7.10.1
5TB7,Q5F7A4,Belongs to the multicopper oxidase family,1.7.2.1
4QQH,Q9ESN4,,
3TN2,P13236,Belongs to the intercrine beta (chemokine CC) family,
1KBR,P26281,Belongs to the HPPK family,2.7.6.3
6BGN,Q01468,Belongs to the 4-oxalocrotonate tautomerase family,5.3.2.6
5A29,Q7MCK3,,
2BQJ,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2YC1,P01495,Belongs to the long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,
4J65,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
5GQU,B1WPM8,Belongs to the glycosyl hydrolase 13 family. GlgB subfamily,2.4.1.18
3KWE,Q8DKB5,Belongs to the gamma-class carbonic anhydrase family,
4PUQ,Q9JJX7,Belongs to the CCR4/nocturin family,3.1.4.-
5KYD,Q93009,Belongs to the peptidase C19 family,3.4.19.12
5KYD,P0CG47,Belongs to the ubiquitin family,
5YFD,B0S4Q0,Belongs to the peptidase M49 family,3.4.14.4
5NYV,Q6NAM1,Belongs to the AB hydrolase superfamily. Epoxide hydrolase family,3.8.1.3
3EP3,P17707,Belongs to the eukaryotic AdoMetDC family,4.1.1.50
4LFT,P01396,Belongs to the snake three-finger toxin family. Long-chain subfamily. Type II alpha-neurotoxin sub-subfamily,
7CIQ,O78189,Belongs to the MHC class I family,
7CIQ,P61769,Belongs to the beta-2-microglobulin family,
7CIQ,P18583,,
2EJN,P30438,Belongs to the secretoglobin family,
2EJN,P30440,Belongs to the secretoglobin family,
3LX4,Q9FYU1,Belongs to the NARF family,
1NNJ,P42371,Belongs to the FPG family,3.2.2.23
2JE2,Q50927,,
2WTE,Q97Y88,Belongs to the CRISPR-associated Csa3 family,
4H2A,P13423,Belongs to the bacterial binary toxin family,
1UAC,P00703,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
7OL6,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1XAU,Q7TSA3,,
5F6F,Q2G141,,
5JHE,P47103,,5.2.1.8
4HJK,P62987,,
1R03,Q8N4E7,Belongs to the ferritin family,1.16.3.1
5FNP,P69506,Belongs to the RIC family. YtfE subfamily,
3MTR,P13591,,
4HXE,O58323,,
4R3F,G0RY38,Belongs to the cyclophilin-type PPIase family. CWC27 subfamily,
2BO4,Q9RFR0,Belongs to the glycosyltransferase 78 family,2.4.1.269
3TGK,P00763,Belongs to the peptidase S1 family,3.4.21.4
3TGK,P00974,,
2RIQ,P09874,Belongs to the ARTD/PARP family,2.4.2.30
3U00,P22069,Belongs to the pancreatic ribonuclease family,3.1.27.-
1BIO,P00746,Belongs to the peptidase S1 family,3.4.21.46
1L9X,Q92820,Belongs to the peptidase C26 family,3.4.19.9
7Q19,P02754,Belongs to the calycin superfamily. Lipocalin family,
3MMD,P40943,Belongs to the glycosyl hydrolase 10 (cellulase F) family,3.2.1.8
6DPA,Q9KEI9,Belongs to the RNase H family,3.1.26.4
1TSF,O28362,Belongs to the eukaryotic/archaeal RNase P protein component 1 family,3.1.26.5
6H98,B3ECE3,,
4YSQ,A4IL26,Belongs to the multicopper oxidase family,1.7.2.1
5IZH,Q6GWS6,Belongs to the Bunyavirales RNA polymerase family,2.7.7.48
2RBC,A9CHQ7,,
2F3Z,P0DP23,Belongs to the calmodulin family,
2F3Z,Q13936,Belongs to the calcium channel alpha-1 subunit (TC 1.A.1.11) family. CACNA1C subfamily,
1PYQ,P0A790,Belongs to the PanD family,4.1.1.11
4GGF,P05109,Belongs to the S-100 family,
4GGF,P06702,Belongs to the S-100 family,
4Q7O,Q7DDN8,,
3UV4,P21675,Belongs to the TAF1 family,2.3.1.48; 2.7.11.1
7QB5,V9VEF3,Belongs to the picornaviruses polyprotein family,
5LSL,Q99181,,
5LSL,Q02554,,
7DCY,P47350,Belongs to the RNR ribonuclease family. RNase R subfamily,3.1.13.1
4X8B,G7CFI3,Belongs to the EgtB family,1.14.99.50
1V8I,Q84CU3,Belongs to the Nudix hydrolase family,
2QFL,P0ADG4,Belongs to the inositol monophosphatase superfamily,
4B9P,A3DC27,,
5AOB,A0A0X1KHD1,Belongs to the 'GDXG' lipolytic enzyme family,
1HNK,P0A6R0,Belongs to the thiolase-like superfamily. FabH family,2.3.1.180
2Y72,Q9X721,Belongs to the peptidase M9B family. Collagenase subfamily,3.4.24.3
1I70,P05798,Belongs to the ribonuclease N1/T1 family,4.6.1.24
4B2B,P00760,Belongs to the peptidase S1 family,3.4.21.4
4B2B,P01051,Belongs to the protease inhibitor I13 (potato type I serine protease inhibitor) family,
1OAD,P24300,Belongs to the xylose isomerase family,5.3.1.5
1Y1M,P35439,Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily,
5KBM,Q5AD07,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
4E2T,O58001,Belongs to the eukaryotic RecA-like protein family,
3DFG,Q8P9X1,Belongs to the RecX family,
1VIE,P00383,,1.5.1.3
5GHX,P00808,Belongs to the class-A beta-lactamase family,3.5.2.6
1YIW,Q9PST8,,
2IPN,P0AEE5,Belongs to the bacterial solute-binding protein 2 family,
1PB3,P08200,Belongs to the isocitrate and isopropylmalate dehydrogenases family,1.1.1.42
4GE0,Q10356,Belongs to the peptidase C56 family,4.2.1.130
3A57,P19250,Belongs to the TDH hemolysin family,
3EG6,P61964,Belongs to the WD repeat WDR5/wds family,
3EG6,Q03164,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,2.1.1.364
180L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
2EAQ,Q8WWI1,,
6ABZ,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3U7C,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
4PEF,C4M1P9,Belongs to the lariat debranching enzyme family,3.1.4.-
1CCW,P80078,Belongs to the methylaspartate mutase GlmS subunit family,5.4.99.1
1CCW,P80077,Belongs to the methylaspartate mutase GlmE subunit family,5.4.99.1
5LQ6,P0A2N2,Belongs to the SpvD family,
5YKA,B3DUR4,,
1GKF,P06875,Belongs to the peptidase S45 family,3.5.1.11
7AV9,Q8WWQ0,,
7AA1,P29373,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
1UMN,P0CB53,Belongs to the Dps family,1.16.-.-
7OC9,Q6MQ12,,
5D54,P01315,Belongs to the insulin family,
4ZMY,P22223,,
4HVV,P00523,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
6SZK,P69741,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.99.6
5CEA,Q6MHS9,,
1HL5,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
7QIH,P0C2N2,,
7QIH,P0C2N4,,
4DGY,P26663,Belongs to the hepacivirus polyprotein family,
1OT6,P16113,Belongs to the photoactive yellow protein family,
3DY9,P18153,Belongs to the PBP/GOBP family,
2ASB,P9WIV3,Belongs to the NusA family,
3FQN,P04439,Belongs to the MHC class I family,
3FQN,P61769,Belongs to the beta-2-microglobulin family,
3FQN,P35222,Belongs to the beta-catenin family,
3TSV,Q07157,Belongs to the MAGUK family,
4OWI,P03069,Belongs to the bZIP family. GCN4 subfamily,
2IN8,P9WHJ3,Belongs to the RecA family,
3W4P,H7C785,Belongs to the class-A beta-lactamase family,3.5.2.6
6N7M,Q188Z7,,
2PA1,Q96JY6,,
4PX8,Q7A225,,3.1.-.-
5IQK,A0A059Q5E8,,
1NC7,Q9X0F9,,
6A64,Q9UHV8,,
1PPT,P68249,Belongs to the NPY family,
4GSQ,O53223,,2.3.2.-
3L0F,P50032,Belongs to the phycobiliprotein family,
3L0F,P50033,Belongs to the phycobiliprotein family,
6GUP,Q4WF56,Belongs to the sidJ hydrolase family,3.1.-.-
5PYL,P23497,,
5PDD,Q9UIF8,Belongs to the WAL family,
4J4K,P24300,Belongs to the xylose isomerase family,5.3.1.5
2C8E,Q7M0L1,,
3H6Q,B9V973,Belongs to the protease inhibitor I85 family,
2JJV,Q5TFQ8,,
1UY2,Q8GJ44,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
4AZ9,Q9Y343,Belongs to the sorting nexin family,
2QRW,P9WN23,Belongs to the truncated hemoglobin family. Group II subfamily,
6B2R,Q8PDX2,Belongs to the thiolase-like superfamily. OleA family,2.3.3.20
6P4Z,P01308,Belongs to the insulin family,
1SGD,P00777,Belongs to the peptidase S1 family,3.4.21.81
1SGD,P68390,,
2XEP,Q8KRB7,,
3FO8,P13332,Belongs to the myoviridae tail sheath protein family,
1HEN,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3SIC,P00782,Belongs to the peptidase S8 family,3.4.21.62
3SIC,P01006,Belongs to the protease inhibitor I16 (SSI) family,
4Y04,B2RID1,Belongs to the peptidase S46 family,3.4.14.-
6QTA,G0SHE6,Belongs to the midasin family,
6QTA,G0SC29,Belongs to the NLE1/RSA4 family,
1P64,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
4G91,P87249,Belongs to the NFYA/HAP2 subunit family,
4G91,Q5B5Z6,Belongs to the NFYB/HAP3 subunit family,
4G91,C8V0B5,Belongs to the NFYC/HAP5 subunit family,
4I1F,O60260,Belongs to the RBR family. Parkin subfamily,2.3.2.31
4IIP,Q5ZSQ2,,3.1.4.-
2J06,P20936,,
4WKX,P00282,,
3GKV,P80043,Belongs to the globin family,
3GKV,P80044,Belongs to the globin family,
5ROK,P06873,Belongs to the peptidase S8 family,3.4.21.64
2POR,P31243,,
4PQQ,O89050,,
7GTN,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
6L1C,A8MW92,,
2Q87,Q9UGN4,Belongs to the CD300 family,
3NSW,Q6R7N7,,
8PEA,Q6XEC0,Belongs to the class-D beta-lactamase family,3.5.2.6
1UYY,O07653,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
7JMR,A0A175WC91,,
2JA2,P9WFV9,Belongs to the class-I aminoacyl-tRNA synthetase family. Glutamate--tRNA ligase type 1 subfamily,6.1.1.17
5CQL,P16442,Belongs to the glycosyltransferase 6 family,
6HOX,A0A5P3XKQ1,Belongs to the peptidase M27 family,
7K67,C4XPJ9,,
3T2O,P00722,Belongs to the glycosyl hydrolase 2 family,3.2.1.23
1NXD,P02866,Belongs to the leguminous lectin family,
3I0Y,Q8PDF7,,
5JDE,Q8WZ42,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.1
7BIZ,Q8A6C8,,
4MV7,P43873,,6.3.4.14
2OLM,P52594,,
3TJY,Q8RP04,Belongs to the HopAB family,
4ZPB,Q5UEA2,Belongs to the picornaviruses polyprotein family,
3G16,A2SL15,,
6MX6,J9VI50,,
4ONL,Q15819,Belongs to the ubiquitin-conjugating enzyme family,
4ONL,P61088,Belongs to the ubiquitin-conjugating enzyme family,2.3.2.23
2P52,P02340,Belongs to the p53 family,
3MPR,Q8A183,,
5I0D,Q8Y4J2,Belongs to the glycosyl hydrolase 31 family,
1TAL,P00778,Belongs to the peptidase S1 family,3.4.21.12
7BBL,Q8WXD5,,
7BBL,Q9H840,Belongs to the gemin-7 family,
7BBL,Q9NWZ8,,
3TXS,Q6U9F0,,
5P8E,P11838,Belongs to the peptidase A1 family,3.4.23.22
2DXQ,A9CI53,,
1I5F,P41016,,
5E6O,Q23536,Belongs to the ATG8 family,
5IHN,P07751,Belongs to the spectrin family,
2IS5,Q7DDI9,,
1RW1,Q9HXX5,Belongs to the ArsC family,
4H39,P53779,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,2.7.11.24
4H39,Q9UQF2,Belongs to the JIP scaffold family,
3RY0,C0LTT5,Belongs to the 4-oxalocrotonate tautomerase family,
7NZ9,Q6P6J0,Belongs to the cytidine and deoxycytidylate deaminase family. ADAT2 subfamily,3.5.4.33
7NZ9,Q6PAT0,Belongs to the cytidine and deoxycytidylate deaminase family. ADAT3 subfamily,
5PPO,O95696,,
5Q94,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
5IVH,Q25252,Belongs to the type-B carboxylesterase/lipase family,3.1.1.-
5S1I,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
5LVZ,C5DN49,Belongs to the 14-3-3 family,
4Q3O,A0A0B5KQQ5,Belongs to the 'GDXG' lipolytic enzyme family,
2JAY,P9WHT9,Belongs to the peptidase T1B family,3.4.25.1
5CO6,P01308,Belongs to the insulin family,
7AFU,Q96SD1,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,3.1.-.-
6ZW9,A0A2H4Z949,,
6ZB1,P25440,Belongs to the BET family,
4HD5,Q81IM3,,
6F1D,P00736,Belongs to the peptidase S1 family,3.4.21.41
1H2A,P21852,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.2.1
1H2A,P21853,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.2.1
1LYH,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1AWR,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
4FGO,Q5ZXA4,,
3ZHG,Q8CJ91,,
2VR8,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
1VLS,P02941,Belongs to the methyl-accepting chemotaxis (MCP) protein family,
2Y32,Q89IH6,,
3TA5,B1L4V6,,
6KD2,P24300,Belongs to the xylose isomerase family,5.3.1.5
4N85,P02766,Belongs to the transthyretin family,
6E5M,P00760,Belongs to the peptidase S1 family,3.4.21.4
6E5M,Q9S9E3,Belongs to the Bowman-Birk serine protease inhibitor family,
3GBY,Q8KDJ9,,
4MHB,Q7CJX8,Belongs to the aldo/keto reductase family,
3IR3,P86397,Belongs to the HTD2 family,4.2.1.59
3KJH,Q3ACS5,,
6BME,R9RY64,,
2GT9,P04439,Belongs to the MHC class I family,
2GT9,P61769,Belongs to the beta-2-microglobulin family,
2GT9,Q16655,,
5WA2,Q9BJ39,,
4GA0,P49792,Belongs to the RanBP2 E3 ligase family,2.3.2.-
1GNT,P31101,Belongs to the HCP family,1.7.99.1
3RRI,C8WSF5,,
7NSR,P02689,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
5Z74,Q8YYM9,Belongs to the glycosyl hydrolase 100 family,3.2.1.26
5C0E,P04439,Belongs to the MHC class I family,
5C0E,P61769,Belongs to the beta-2-microglobulin family,
1KVC,P0A7Y4,Belongs to the RNase H family,3.1.26.4
6LUX,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
5Q2M,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
3LK7,Q8E186,Belongs to the MurCDEF family,6.3.2.9
4EDJ,Q9H8Y8,Belongs to the GORASP family,
6EFI,F0FS71,,
5NJE,P53350,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,2.7.11.21
1SQ9,Q02793,Belongs to the SKI8 family,
5D14,P10145,Belongs to the intercrine alpha (chemokine CxC) family,
7QLV,P11838,Belongs to the peptidase A1 family,3.4.23.22
1NOG,Q9HIA7,,
4HRV,Q7BMM3,,
6SVK,Q969H8,Belongs to the MYDGF family,
4AXO,Q187N7,Belongs to the EutQ cupin-like family,2.7.2.1
4OZW,Q06749,Belongs to the polysaccharide lyase 5 family,4.2.2.3
2FQ4,Q81BJ4,,
3T7L,Q7Z3T8,,
4OEO,Q07157,Belongs to the MAGUK family,
2D7J,O59071,,6.3.5.2
7MPM,X5MEI1,,
8RNY,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2W46,Q51815,Belongs to the faeC family,
1KF3,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
4W65,K0UYS3,Belongs to the glycosyl hydrolase 16 family,
6DCD,B2HFD6,Belongs to the cytochrome P450 family,
1RN4,P00651,Belongs to the ribonuclease N1/T1 family,4.6.1.24
5YL9,P15423,Belongs to the alphacoronaviruses spike protein family,
6GCV,Q9I055,Belongs to the methyl-accepting chemotaxis (MCP) protein family,
4NIX,P00760,Belongs to the peptidase S1 family,3.4.21.4
5IMK,Q9Y279,,
4GOQ,Q9A9C4,,
4UQY,Q9I746,,
4UQY,Q9I749,,
5X88,A0A1S6YJF3,Belongs to the cutinase family,3.1.1.74
1TTC,P02766,Belongs to the transthyretin family,
5PUL,O95696,,
7A3H,O85465,Belongs to the glycosyl hydrolase 5 (cellulase A) family,3.2.1.4
2C4E,Q57849,Belongs to the carbohydrate kinase PfkB family,
1A6K,P02185,Belongs to the globin family,
1O8S,Q8GJ44,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
2JFV,Q3XZW8,Belongs to the aspartate/glutamate racemases family,5.1.1.3
7LMH,P0C6U8,Belongs to the coronaviruses polyprotein 1ab family,
7AKR,Q9NX46,Belongs to the ADP-ribosylglycohydrolase family,
5B28,P05413,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
2NNE,P02762,Belongs to the calycin superfamily. Lipocalin family,
7OMZ,A0A0B0SG80,Belongs to the DarT ADP-ribosyltransferase family,2.4.2.-
2QNW,O77470,Belongs to the acyl carrier protein (ACP) family,
5V4D,A0A3N4B564,Belongs to the RutC family,
5K2N,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2XVX,Q72EC8,Belongs to the CbiK family,4.99.1.3
5OYU,P11838,Belongs to the peptidase A1 family,3.4.23.22
6TBY,P93527,Belongs to the phytochrome family,
6T8I,Q8A0N4,,
1XS0,P0AD59,Belongs to the ivy family,
1V9F,P33643,Belongs to the pseudouridine synthase RluA family,5.4.99.23
5HJF,B2J981,Belongs to the Dps family,
4DT7,P00734,Belongs to the peptidase S1 family,3.4.21.5
4DT7,P04070,Belongs to the peptidase S1 family,3.4.21.69
3KHY,Q5NE95,Belongs to the acetokinase family,2.7.2.1
1ZKE,P64665,,
3BA5,P05230,Belongs to the heparin-binding growth factors family,
5W53,A5K736,,
4MTM,I2GUG0,,
3VCA,Q92ZP9,,
3KVS,P00306,Belongs to the phycobiliprotein family,
3KVS,P00311,Belongs to the phycobiliprotein family,
2P3H,Q8NR63,Belongs to the UPF0053 family,
1N5N,Q9I7A8,Belongs to the polypeptide deformylase family,3.5.1.88
2I9A,P00749,Belongs to the peptidase S1 family,3.4.21.73
3DGD,P02766,Belongs to the transthyretin family,
5PS6,O95696,,
1S02,P00782,Belongs to the peptidase S8 family,3.4.21.62
3IW0,P9WPP1,Belongs to the cytochrome P450 family,1.14.15.29
7EC1,A0A0H2XGN0,,
3WY8,K7ZK39,,
3WD0,P11797,Belongs to the glycosyl hydrolase 18 family. Chitinase class II subfamily,3.2.1.14
5Q7J,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
3CKM,P45299,Belongs to the LpoA family,
2AMS,P80176,Belongs to the high-potential iron-sulfur protein (HiPIP) family,
1UNK,Q03708,Belongs to the colicins ColE2/ColE8/ColE9 and pyocins S1/S2 family,
4LQH,P07798,Belongs to the ferritin family,1.16.3.1
3JSN,Q9AIU7,Belongs to the NAD-dependent DNA ligase family. LigA subfamily,6.5.1.2
6XH2,P09012,Belongs to the RRM U1 A/B'' family,
4OQZ,S3Z901,Belongs to the HIBADH-related family,
1M2I,P00171,Belongs to the cytochrome b5 family,
4FJ6,A6LG40,Belongs to the glycosyl hydrolase 33 family,3.2.1.18
3ON2,Q0SHW9,,
3FYY,Q8EMJ9,Belongs to the mandelate racemase/muconate lactonizing enzyme family,4.2.1.158
7MGP,Q8G9V5,Belongs to the bacterial microcompartments protein family. CsoS1 subfamily,
6G7W,Q8NBF2,,
7BEZ,Q50EL4,,
2Y8V,Q4WEQ6,,
1MJS,P84022,Belongs to the dwarfin/SMAD family,
2P12,Q0SI31,,
2HNF,Q7B004,,
6DOO,Q9KEI9,Belongs to the RNase H family,3.1.26.4
8OSD,Q8WZ42,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.1
6RQW,Q16790,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
6IJ3,A0A0K8P6T7,Belongs to the AB hydrolase superfamily,3.1.1.101
2OVG,P03040,,
5FYD,A4ECA9,Belongs to the short-chain dehydrogenases/reductases (SDR) family,1.1.1.201
1KK0,Q9V1G0,Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EIF2G subfamily,3.6.5.3
